0,1,3,NdValence_min_value,ThermalExpansionCoefficient_min_value,valence_min_value,Material composition,predict_Pt,Solute element,Host element,Scaled activation energy (eV)
-0.5024244101595177,0.8930257096933205,0.13512741415898166,1.0987706763589706,0.16104225362183242,-1.2574629785308742,AgAg,0,Ag,Ag,0.0
0.09358114773396184,0.8930257096933205,0.13512741415898166,0.2854508676180616,-0.1902797008214923,-0.6792135796444139,AgCo,0,Co,Ag,-0.090141676
0.5542228837485558,0.8930257096933205,0.13512741415898166,-0.2567623382092111,-0.6726030620063957,1.055534617014967,AgCr,0,Cr,Ag,0.259138544
-0.36508161669629996,0.8930257096933205,0.13512741415898166,1.0987706763589706,0.01813162808556478,-1.2574629785308742,AgCu,0,Cu,Ag,-0.022200405
0.1416578338277306,0.8930257096933205,0.13512741415898166,0.014344264704425234,-0.2617350135896261,1.055534617014967,AgFe,0,Fe,Ag,0.317672341
-0.1848164053668681,0.8930257096933205,0.13512741415898166,-0.2567623382092111,0.3277713167474781,1.6337840159014274,AgMn,0,Mn,Ag,0.202185741
0.04885864946078729,0.8930257096933205,0.13512741415898166,0.556557470531698,-0.16646126323211433,-0.6792135796444139,AgNi,0,Ni,Ag,0.250571478
0.1450120216483248,0.8930257096933205,0.13512741415898166,-1.3411887498637567,-0.3689179827418269,-0.6792135796444139,AgSc,0,Sc,Ag,-0.001431337
0.2870059547159016,0.8930257096933205,0.13512741415898166,-1.0700821469501203,-0.4522825143046498,-0.10096418075795353,AgTi,0,Ti,Ag,0.164968058
0.5575770705689141,0.8930257096933205,0.13512741415898166,-0.7989755440364839,-0.4641917330993387,0.47728521812850677,AgV,0,V,Ag,0.248163228
-1.1086937819638218,0.8930257096933205,0.13512741415898166,1.0987706763589706,0.8339131155217596,-1.2574629785308742,AgZn,0,Zn,Ag,-0.146976233
-0.8394755210749294,0.6259902389923001,0.2794372574509992,-1.6122953527773929,0.4111358483103011,-0.6792135796444139,AlAl,0,Al,Al,0.0
-0.5024244101595177,0.6259902389923001,0.2794372574509992,1.0987706763589706,0.16104225362183242,-1.2574629785308742,AlAg,0,Ag,Al,-0.12503
-0.6644652026974552,0.6259902389923001,0.2794372574509992,1.0987706763589706,-0.04736907528522456,0.47728521812850677,AlAs,0,As,Al,-0.14243
-0.3879348138200115,0.6259902389923001,0.2794372574509992,1.0987706763589706,-0.11882438805335847,-0.6792135796444139,AlAu,0,Au,Al,-0.22471
-1.274480083584603,0.6259902389923001,0.2794372574509992,1.0987706763589706,-0.16646126323211433,0.47728521812850677,AlBi,0,Bi,Al,-0.35403
