"MLI Score","Property Normalizing temperature","Uncertainty in Property Normalizing temperature","Property Through hardening temperature","Uncertainty in Property Through hardening temperature","Property Through hardening time","Uncertainty in Property Through hardening time","formula","Property Fatigue strength","Uncertainty in Property Fatigue strength"
"41","929.7684862968049","0.0","27.416455434273168","0.0","0.017207470392002856","0.0","Al$_{96.33}$C$_{0.23}$Si$_{0.41}$P$_{0.01}$Cr$_{0.55}$Mn$_{0.47}$Ni$_{1.69}$Cu$_{0.13}$Mo$_{0.18}$","1120.0","330.0"
"39","929.3366736820989","0.0","31.95911913657115","0.0","0.06525573501241239","0.0","Al$_{96.12}$C$_{0.25}$Si$_{0.42}$S$_{0.18}$Cr$_{0.8}$Mn$_{0.92}$Ni$_{0.71}$Cu$_{0.33}$Mo$_{0.27}$","1070.0","420.0"
"39","929.8324323090773","0.0","24.351883487179716","0.0","0.0","0.0","Al$_{95.69}$C$_{0.26}$Si$_{0.41}$P$_{0.05}$S$_{0.06}$Cr$_{0.56}$Mn$_{0.74}$Ni$_{1.63}$Cu$_{0.6}$","1090.0","340.0"
"38","928.912786418172","0.0","24.973998573393505","0.0","0.23614984115255971","0.0","Al$_{95.77}$C$_{0.82}$Si$_{0.01}$P$_{0.01}$S$_{0.56}$Cr$_{0.8}$Mn$_{0.71}$Ni$_{0.67}$Cu$_{0.34}$Mo$_{0.31}$","1080.0","370.0"
"38","928.6876773340767","0.0","31.518443815662295","0.0","0.059011421532400486","0.0","Al$_{96.61}$C$_{0.83}$S$_{0.54}$Cr$_{0.93}$Mn$_{0.73}$Cu$_{0.15}$Mo$_{0.21}$","1080.0","360.0"
"37","929.6638269577801","0.0","28.410842117905243","0.0","0.12364689558077126","0.0","Al$_{95.31}$C$_{0.21}$Si$_{0.25}$S$_{0.31}$Cr$_{0.79}$Mn$_{0.23}$Ni$_{1.62}$Cu$_{0.86}$Mo$_{0.41}$","1080.0","330.0"
"37","928.7407763590287","0.0","34.512540604722936","0.0","0.4032710409532289","0.0","Al$_{95.95}$C$_{0.9}$Si$_{0.18}$P$_{0.96}$Mn$_{0.48}$Ni$_{0.09}$Cu$_{0.51}$Mo$_{0.93}$","1050.0","410.0"
"37","928.1173814228686","0.0","30.065951085243622","0.0","0.01935326311507279","0.0","Al$_{94.83}$C$_{0.73}$Si$_{0.95}$P$_{0.65}$Cr$_{0.63}$Mn$_{0.78}$Cu$_{0.98}$Mo$_{0.45}$","1080.0","320.0"
"34","929.4929056337356","0.0","17.81969850457734","0.0","0.06556056279351886","0.0","Al$_{95.86}$C$_{1.03}$Cr$_{0.86}$Mn$_{0.4}$Ni$_{0.34}$Cu$_{0.85}$Mo$_{0.66}$","1110.0","200.0"
"29","929.0327402588731","0.0","25.049739136048395","0.0","0.6889379624782727","0.0","Al$_{98.33}$Si$_{0.16}$P$_{0.07}$S$_{0.82}$Mn$_{0.1}$Ni$_{0.18}$Mo$_{0.35}$","930.0","480.0"
